id,Version,English,English (Europe),German,Spanish,Spanish (US),French,French (US),Italian,Dutch,Chinese,Chinese (Traditional),Japanese,Korean,Russian
533,1.0.0,school hat,school hat,Schülerhut,gorra de colegio,gorra de colegio,chapeau d'écolier,chapeau d'écolier,cappello da scolaro,Japanse schoolhoedje,上学帽,上學帽,つうがくぼう,유치원생 모자,школьная шапочка
550,1.0.0,New Year's hat,New Year's hat,Neujahrshut,gorro de Año Nuevo,gorro de Año Nuevo,chapeau de nouvel an,chapeau de Nouvel An,cappello di Capodanno,nieuwjaarshoedje,新年帽,新年帽,ニューイヤーハット,새해 모자,новогодняя шапочка
551,1.0.0,birthday hat,birthday hat,Geburtstagshut,sombrero de cumpleaños,sombrero de cumpleaños,chapeau anniversaire,chapeau de fête,cappello di compleanno,verjaardagshoed,生日帽,生日帽,バースデーハット,생일 모자,именинная шапка
552,1.0.0,hyacinth crown,hyacinth crown,Hyazinthenkrone,guirnalda jacinto,tiara jacintos,coiffe jacinthes,coiffe jacinthes,corona di giacinti,hyacintenkroon,风信子花冠,風信子花冠,ヒヤシンスのかんむり,히아신스 화관,венок из гиацинтов
553,1.0.0,cool hyacinth crown,cool hyacinth crown,Bunthyazinthenkrone,guirnalda jacinto refinada,tiara jacintos atrevida,coiffe jacinthes raffinée,coiffe jacinthes raffinée,corona di giacinti spavalda,toffe hyacintenkroon,清新风信子花冠,清新風信子花冠,ヒヤシンスのかんむり・クール,쿨 히아신스 화관,яркий венок из гиацинтов
554,1.0.0,purple hyacinth crown,purple hyacinth crown,Purpurhyazinthenkrone,guirnalda jacinto violeta,tiara jacintos morados,coiffe jacinthes mauves,coiffe jacinthes mauves,corona di giacinti viola,paarse-hyacintenkroon,紫色风信子花冠,紫色風信子花冠,ヒヤシンスのかんむり・パープル,퍼플 히아신스 화관,фиол. венок из гиацинтов
555,1.0.0,windflower crown,windflower crown,Anemonenkrone,guirnalda anémona,tiara anémonas,coiffe anémones,coiffe anémones,corona di anemoni,anemonenkroon,银莲花花冠,銀蓮花花冠,アネモネのかんむり,아네모네 화관,венок из ветрениц
556,1.0.0,cool windflower crown,cool windflower crown,Buntanemonenkrone,guirnalda anémona refinada,tiara anémonas atrevida,coiffe anémones raffinée,coiffe anémones raffinée,corona di anemoni spavalda,toffe anemonenkroon,清新银莲花花冠,清新銀蓮花花冠,アネモネのかんむり・クール,쿨 아네모네 화관,яркий венок из ветрениц
557,1.0.0,purple windflower crown,purple windflower crown,Purpuranemonenkrone,guirnalda anémona violeta,tiara anémonas moradas,coiffe anémones mauves,coiffe anémones mauves,corona di anemoni viola,paarse-anemonenkroon,紫色银莲花花冠,紫色銀蓮花花冠,アネモネのかんむり・パープル,퍼플 아네모네 화관,фиол. венок из ветрениц
558,1.0.0,tulip crown,tulip crown,Tulpenkrone,guirnalda tulipán,tiara tulipanes,coiffe tulipes,coiffe tulipes,corona di tulipani,tulpenkroon,郁金香花冠,鬱金香花冠,チューリップのかんむり,튤립 화관,венок из тюльпанов
559,1.0.0,chic tulip crown,chic tulip crown,Edeltulpenkrone,guirnalda tulipán chic,tiara tulipanes chic,coiffe tulipes chic,coiffe tulipes chic,corona di tulipani chic,chique tulpenkroon,典雅郁金香花冠,典雅鬱金香花冠,チューリップのかんむり・シック,시크 튤립 화관,диво-венок из тюльпанов
560,1.0.0,dark tulip crown,dark tulip crown,Römertulpenkrone,guirnalda tulipán negro,tiara tulipanes gótica,coiffe tulipes sombre,coiffe tulipes sombre,corona di tulipani cupa,donkere-tulpenkroon,深色郁金香花冠,深色鬱金香花冠,チューリップのかんむり・ダーク,다크 튤립 화관,темн. венок из тюльпанов
561,1.0.0,pansy crown,pansy crown,Veilchenkrone,guirnalda viola,tiara violas,coiffe pensées,coiffe pensées,corona di viole,viooltjeskroon,三色堇花冠,三色堇花冠,パンジーのかんむり,팬지 화관,венок из фиалок
562,1.0.0,cool pansy crown,cool pansy crown,Buntveilchenkrone,guirnalda viola refinada,tiara violas atrevida,coiffe pensées raffinée,coiffe pensées raffinée,corona di viole spavalda,toffe viooltjeskroon,清新三色堇花冠,清新三色堇花冠,パンジーのかんむり・クール,쿨 팬지 화관,яркий венок из фиалок
563,1.0.0,purple pansy crown,purple pansy crown,Hainveilchenkrone,guirnalda viola violeta,tiara violas moradas,coiffe pensées mauves,coiffe pensées mauves,corona di viole viola,paarse-viooltjeskroon,紫色三色堇花冠,紫色三色堇花冠,パンジーのかんむり・パープル,퍼플 팬지 화관,фиол. венок из фиалок
564,1.0.0,cosmos crown,cosmos crown,Cosmeenkrone,guirnalda cosmos,tiara cosmos,coiffe cosmos,coiffe cosmos,corona di cosmee,cosmeakroon,波斯菊花冠,波斯菊花冠,コスモスのかんむり,코스모스 화관,венок из космей
565,1.0.0,lovely cosmos crown,lovely cosmos crown,Buntcosmeenkrone,guirnalda cosmos adorable,tiara cosmos adorable,jolie coiffe cosmos,jolie coiffe cosmos,corona di cosmee graziosa,lieflijke cosmeakroon,甜美波斯菊花冠,甜美波斯菊花冠,コスモスのかんむり・ラブリー,러블리 코스모스 화관,чудный венок из космей
566,1.0.0,dark cosmos crown,dark cosmos crown,Schwarzcosmeenkrone,guirnalda cosmos negro,tiara cosmos gótica,coiffe cosmos sombre,coiffe cosmos sombre,corona di cosmee cupa,donkere-cosmeakroon,深色波斯菊花冠,深色波斯菊花冠,コスモスのかんむり・ダーク,다크 코스모스 화관,темн. венок из космей
567,1.0.0,rose crown,rose crown,Rosenkrone,guirnalda rosa,tiara rosas,coiffe roses,coiffe roses,corona di rose,rozenkroon,玫瑰花冠,玫瑰花冠,バラのかんむり,장미 화관,венок из роз
568,1.0.0,cute rose crown,cute rose crown,Buntrosenkrone,guirnalda rosa adorable,tiara rosas adorable,jolie coiffe roses,jolie coiffe roses,corona di rose graziosa,schattige rozenkroon,可爱玫瑰花冠,可愛玫瑰花冠,バラのかんむり・キュート,큐트 장미 화관,милый венок из роз
569,1.0.0,chic rose crown,chic rose crown,Edelrosenkrone,guirnalda rosa oscura,tiara rosas oscuras,coiffe roses chic,coiffe roses chic,corona di rose chic,chique rozenkroon,典雅玫瑰花冠,典雅玫瑰花冠,バラのかんむり・シック,시크 장미 화관,диво-венок из роз
570,1.0.0,lily crown,lily crown,Lilienkrone,guirnalda lirio,tiara lirios,coiffe lys,coiffe lys,corona di gigli,leliekroon,百合花冠,百合花冠,ユリのかんむり,백합 화관,венок из лилий
571,1.0.0,cute lily crown,cute lily crown,Buntlilienkrone,guirnalda lirio adorable,tiara lirios adorable,jolie coiffe lys,jolie coiffe lys,corona di gigli graziosa,schattige leliekroon,可爱百合花冠,可愛百合花冠,ユリのかんむり・キュート,큐트 백합 화관,диво-венок из лилий
572,1.0.0,dark lily crown,dark lily crown,Dunkellilienkrone,guirnalda lirio negro,tiara lirios gótica,coiffe lys sombre,coiffe lys sombre,corona di gigli cupa,donkere-leliekroon,深色百合花冠,深色百合花冠,ユリのかんむり・ダーク,다크 백합 화관,темный венок из лилий
573,1.0.0,mum crown,mum crown,Chrysanthemenkrone,guirnalda crisantemo,tiara crisantemos,coiffe chrysanthèmes,coiffe chrysanthèmes,corona di crisantemi,chrysantenkroon,菊花花冠,菊花花冠,キクのかんむり,국화 화관,фиол. венок из хризантем
574,1.0.0,chic mum crown,chic mum crown,Edelchrysanthemenkrone,guirnalda crisantemo chic,tiara crisantemos chic,coiffe chrysanth. chic,coiffe chrysanth. chic,corona di crisantemi chic,chique chrysantenkroon,典雅菊花花冠,典雅菊花花冠,キクのかんむり・シック,시크 국화 화관,диво-венок из хризантем
575,1.0.0,simple mum crown,simple mum crown,Grünchrysanthemenkrone,guirnalda crisantemo verde,tiara crisantemos verdes,coiffe chrysanth. simple,coiffe chrysanth. simple,corona crisantemi semplice,simpele chrysantenkroon,简约菊花花冠,簡約菊花花冠,キクのかんむり・シンプル,심플 국화 화관,веночек из хризантем
579,1.0.0,mesh cap,mesh cap,Truckerkappe,gorra con malla,gorra de red,casquette voilage filet,casquette voilage filet,berretto con visiera,truckerspet,网帽,網帽,メッシュキャップ,망사 모자,кепка с сеточкой
580,1.0.0,top hat,top hat,Zylinder,sombrero de copa,sombrero de copa,haut-de-forme,haut-de-forme,cilindro,hoge hoed,丝质礼帽,絲質禮帽,シルクハット,실크해트,цилиндр
587,1.0.0,explorer's hat,explorer's hat,Safarihut,sombrero de exploración,sombrero de exploración,chapeau aventure,chapeau aventure,cappello da esploratore,ontdekkingsreizigershoed,探险帽,探險帽,たんけんぼう,탐험 모자,шляпа исследователя
588,1.0.0,scholar's hat,scholar's hat,Abschlusshut,birrete de graduación,birrete de graduación,chapeau diplôme,mortier de finissant,cappello da laurea,afstudeerhoed,学士帽,學士帽,がくしのぼうし,학사모,шапка магистра
589,1.0.0,sombrero,sombrero,Sombrero,sombrero cuate,sombrero de palma,sombrero,sombrero,sombrero,sombrero,墨西哥草帽,墨西哥草帽,ソンブレロ,솜브레로,сомбреро
590,1.0.0,safety helmet,safety helmet,Baustellenhelm,casco de obra,casco de obra,casque de chantier,casque de chantier,elmetto protettivo,veiligheidshelm,安全帽,安全帽,あんぜんヘルメット,안전모,каска строителя
591,1.0.0,chef's hat,chef's hat,Kochmütze,gorro de chef,gorro de chef,toque,toque,cappello da cuoco,koksmuts,厨师帽,廚師帽,コックさんのぼうし,요리사 모자,колпак повара
592,1.0.0,police cap,police cap,Polizeimütze,gorra de policía,gorra de policía,casquette de police,casquette de police,cappello da poliziotto,politiepet,警官帽,警官帽,けいかんのぼうし,경찰모,фуражка полицейского
594,1.0.0,bamboo hat,bamboo hat,Bambushut,gorro de bambú cónico,gorro de bambú cónico,nón lá,nón lá,cappello di bambù,bamboehoed,斗笠,斗笠,かさぼうし,삼각 삿갓,бамбуковая шапочка
595,1.0.0,faux-fur hat,faux-fur hat,Kunstfellhut,gorro de pelo sintético,gorro de piel sintética,bonnet en fausse fourrure,bonnet en fausse fourrure,cappello di ecopelliccia,muts van imitatiebont,仿毛皮帽,仿毛皮帽,フェイクファーハット,인조털 모자,шапка «под мех»
596,1.0.0,do-rag,do-rag,Bandana,pañuelo anudado,pañuelo anudado,bandana triangle,bandana triangle,bandana a quadri,Japanse hoofddoek,三角巾,三角巾,さんかくきん,삼각 두건,косынка
597,1.0.0,knit hat,knit hat,Strickmütze,gorro de punto,gorro tejido,bonnet tricoté,tuque,cappello di maglia,gebreide muts,针织帽,針織帽,ニットキャップ,니트캡,вязаная шапочка
598,1.0.0,paperboy cap,paperboy cap,Botenmütze,gorra de granujilla,gorra travesura,casquette de livreur,casquette de livreur,coppola,golfpet,狩猎帽,狩獵帽,ハンチング,헌팅캡,кепка газетчика
599,1.0.0,plain cap,plain cap,Schirmmütze,gorra sencilla,gorra sencilla,casquette militaire,casquette,berretto militare,eenvoudige pet,军帽,軍帽,ワークキャップ,워크캡,простая кепка
617,1.0.0,sailor's hat,sailor's hat,Matrosenmütze,gorro marinero,gorro marinero,bonnet marin,bonnet de matelot,cappello da marinaio,matrozenpet,水手帽,水手帽,ふなのりのぼうし,선원 모자,шапочка моряка
618,1.0.0,viking helmet,viking helmet,Wikingerhelm,casco vikingo,casco vikingo,casque viking,casque viking,elmo vichingo,Vikinghelm,维京人头盔,維京人頭盔,バイキングのかぶと,바이킹 투구,шлем викинга
631,1.0.0,mage's hat,mage's hat,Hexenhut,sombrero de hechicería,sombrero de hechicería,chapeau de sorcellerie,chapeau de sorcellerie,cappello da strega,heksenhoed,魔女帽,魔女帽,まじょのぼうし,마술사 모자,чародейская шляпа
632,1.0.0,denim cap,denim cap,Jeans-Kappe,gorra vaquera,gorra de jean,casquette en jean,casquette en jean,cappellino di jeans,denim pet,牛仔布帽,牛仔布帽,デニムキャップ,데님 야구 모자,джинсовая кепка
633,1.0.0,cycling cap,cycling cap,Radlermütze,gorra de ciclista,gorra de ciclista,casquette cycliste,casquette cycliste,cappellino da ciclista,wielrennerspet,骑行帽,單車帽,サイクルキャップ,사이클 야구 모자,велосипедная кепка
634,1.0.0,outdoor hat,outdoor hat,Outdoor-Hut,sombrero de paseo,sombrero de paseo,chapeau de randonnée,chapeau de randonnée,cappello parasole,kampeerhoed,户外登山帽,戶外登山帽,アウトドアハット,아웃도어 모자,походная шляпа
635,1.0.0,straw boater,straw boater,Kreissäge,canotier,canotier,canotier,canotier,paglietta,gondeliershoed,平顶草帽,平頂草帽,カンカンぼう,캉캉 모자,шляпка канотье
636,1.0.0,beret,beret,Barett,boina,boina,béret,béret,basco,baret,贝雷帽,貝雷帽,ベレーぼう,베레모,берет
637,1.0.0,orange hat,orange hat,Orangenhut,gorro naranja,gorro naranja,chapeau orange,chapeau orange,cappello arancia,sinaasappelmuts,橘子帽子,夏蜜柑帽子,オレンジのぼうし,귤 모자,шапка-апельсин
638,1.0.0,kiwi hat,kiwi hat,Kiwihut,gorro kiwi,gorro kiwi,chapeau kiwi,chapeau kiwi,cappello kiwi,kiwimuts,奇异果帽子,奇異果帽子,キウイのぼうし,키위 모자,шапка-киви
639,1.0.0,strawberry hat,strawberry hat,Erdbeerhut,gorro fresa,gorro fresa,chapeau fraise,chapeau fraise,cappello fragola,aardbeimuts,草莓帽子,草莓帽子,いちごのぼうし,딸기 모자,шапка-клубника
640,1.0.0,grape hat,grape hat,Traubenhut,gorro uva,gorro uva,chapeau raisin,chapeau raisin,cappello uva,druivenmuts,葡萄帽子,葡萄帽子,ぶどうのぼうし,포도 모자,шапка-виноград
641,1.0.0,pineapple cap,pineapple cap,Ananashut,gorro piña,gorro piña,chapeau ananas,chapeau ananas,cappello ananas,ananasmuts,凤梨帽子,鳳梨帽子,パイナップルのぼうし,파인애플 모자,шапка «Ананас»
642,1.0.0,watermelon hat,watermelon hat,Melonenhut,gorro sandía,gorro sandía,chapeau pastèque,chapeau melon d'eau,cappello anguria,watermeloenmuts,西瓜帽子,西瓜帽子,スイカのぼうし,수박 모자,шапка-арбуз
644,1.0.0,sushi chef hat,sushi chef hat,Sushikochmütze,gorro chef de sushi,gorro chef de sushi,toque de chef sushi,toque de chef sushi,cappello da chef di sushi,sushikoksmuts,日本料理厨师帽,日本料理廚師帽,わぼうし,일식 요리사 모자,шапочка мастера суши
645,1.0.0,bicycle helmet,bicycle helmet,Fahrradhelm,casco de ciclista,casco de ciclista,casque de vélo,casque de vélo,casco da ciclista,fietshelm,单车头盔,單車安全帽,サイクルヘルメット,자전거 헬멧,велосипедный шлем
646,1.0.0,swimming cap,swimming cap,Schwimmkappe,gorro de natación,gorro de natación,bonnet de natation,casque de bain,cuffia da nuoto,badmuts,泳帽,泳帽,すいえいキャップ,수영 모자,шапочка для плавания
647,1.0.0,silk hat,silk hat,Asia-Mütze,gorro de seda,gorro de seda,chapeau en soie,chapeau en soie,cappello di seta,zijden muts,唐装帽,唐裝帽,チャイナハット,중국풍 모자,шелковая шапочка
656,1.0.0,tulip hat,tulip hat,Tulpenhut,gorro tulipán,gorro tulipán,chapeau tulipe,chapeau tulipe,cappello tulipano,tulphoed,郁金香帽,花瓣帽,チューリップハット,튤립 모자,панама-колокольчик
657,1.0.0,paisley bandanna,paisley bandanna,Paisleymuster-Bandana,pañuelo de cachemira,pañuelo de cachemira,bandana paisley,bandana paisley,bandana con motivo paisley,paisleybandana,变形虫图腾头巾,變形蟲圖騰頭巾,ペイズリーのバンダナ,페이즐리 반다나,бандана с узором пейсли
658,1.0.0,alpinist hat,alpinist hat,Gebirgshut,sombrero tirolés,sombrero tirolés,chapeau tyrolien,chapeau tyrolien,cappello tirolese,tirolerhoed,提洛尔帽子,提洛爾帽子,チロリアンハット,알프스풍 모자,горная шляпа
659,1.0.0,bowler hat with ribbon,bowler hat with ribbon,Schleifchen-Melone,bombín con lazo,bombín con lazo,chapeau melon à ruban,chapeau melon à ruban,bombetta con fiocco,bolhoed met lint,蝴蝶结圆顶硬礼帽,蝴蝶結圓頂硬禮帽,リボンボーラーハット,리본 페도라,котелок с лентой
660,1.0.0,wide-brim straw hat,wide-brim straw hat,Florentinerhut,pamela de paja,sombrero de paja amplio,chapeau de paille large,chapeau de paille large,cappello di paglia largo,strohoed met brede rand,宽边草帽,寬邊草帽,つばひろストローハット,챙 넓은 밀짚모자,широкополая «соломка»
661,1.0.0,dotted shower cap,dotted shower cap,Pünktchenduschhaube,gorro de ducha a lunares,gorra de ducha a lunares,bonnet de douche à pois,bonnet de douche à pois,cuffia da doccia a pois,douchemuts met stippen,圆点浴帽,圓點浴帽,みずたまシャワーキャップ,물방울 샤워캡,чепец для душа в горошек
662,1.0.0,fedora,fedora,Filzhut,fedora,fedora,borsalino,borsalino,borsalino,gleufhoed,绅士帽,紳士帽,なかおれハット,페도라,фетровая шляпа
663,1.0.0,frugal hat,frugal hat,Lumpenhut,sombrero roñoso,sombrero roñoso,chapeau rapiécé,chapeau rapiécé,cappello modesto,opgelapte hoed,简朴帽子,簡樸帽子,しっそなぼうし,누더기 모자,рваная шляпа
664,1.0.0,sports cap,sports cap,Sportkappe,gorra deportiva,gorra deportiva,casquette de sport,casquette de sport,cappellino sportivo,sportieve pet,运动帽,運動帽,うんどうぼう,운동 모자,спортивная кепка
665,1.0.0,terry-cloth nightcap,terry-cloth nightcap,Frottee-Nachtmütze,gorro de dormir,gorro de dormir,bonnet de nuit tissu éponge,bonnet nuit tissu éponge,berretto di spugna,badstoffen slaapmuts,毛绒睡帽,毛絨睡帽,もこもこナイトキャップ,복슬복슬 나이트캡,махровый ночн. колпак
667,1.0.0,royal crown,royal crown,Königskrone,corona imperial,corona imperial,couronne royale,couronne royale,corona reale,koninklijke kroon,王冠,王冠,おうかん,왕관,королевская корона
669,1.0.0,terry-cloth do-rag,terry-cloth do-rag,Handtuch,pañuelo felpa,pañuelo felpa,bandana simple,bandana simple,cappello di spugna,badstoffen durag,毛巾帽,毛巾帽,タオル,수건,махровая повязка
670,1.0.0,acorn knit cap,acorn knit cap,Eichelstrickmütze,gorro bellota,gorro bellota,bonnet gland tricoté,bonnet gland tricoté,cappellino ghianda di lana,gebreide eikelmuts,尖顶针织帽,尖頂針織帽,どんぐりニット,도토리 털모자,вязаная шапка-желудь
671,1.0.0,combat helmet,combat helmet,Soldatenhelm,casco de soldado,casco de soldado,casque lourd,casque de soldat,elmetto,gevechtshelm,钢盔,鋼盔,コンバットヘルメット,철모,военная каска
681,1.0.0,shallow knit cap,shallow knit cap,Ministrickmütze,minigorro de punto,minigorro tejido,mini bonnet tricoté,mini bonnet tricoté,cappellino basso di lana,korte muts,短版针织帽,短版針織帽,あさいニットぼう,얇은 털모자,вязаная мини-шапочка
684,1.0.0,captain's hat,captain's hat,Kapitänsmütze,gorra de capitán,gorra de capitán,casquette de capitaine,casquette capitaine,cappello da capitano,kapiteinspet,船长帽子,船長帽子,キャプテンのぼうし,캡틴 모자,фуражка капитана
685,1.0.0,dandy hat,dandy hat,Dandymütze,gorra elegante,gorra elegante,casquette de dandy,casquette de dandy,berretto da dandy,krantenjongenspet,报童帽,報童帽,キャスケット,카스케트,стильная кепка
688,1.0.0,wizard's cap,wizard's cap,Zauberhut,gorro mago,gorro mago,chapeau de magicien,chapeau de magicien,cappello da mago,tovenaarshoed,尖头帽,尖頭帽,とんがりぼうし,마법사 모자,колпак волшебника
689,1.0.0,balloon hat,balloon hat,Ballonhut,sombrero de globos,sombrero de globos,chapeau ballons,chapeau ballons,cappello di palloncini,ballonnenhoed,气球帽,氣球帽,バルーンハット,풍선 모자,шляпа из шариков
696,1.0.0,elegant hat,elegant hat,Schmuckhut,pamela elegante,pamela elegante,chapeau classe,chapeau élégant,cappello elegante,elegante hoed,优雅帽子,優雅帽子,エレガントなぼうし,엘레강스 모자,элегантная шляпа
701,1.0.0,jester's cap,jester's cap,Narrenkappe,gorro de bufón,gorro de bufón,chapeau de bouffon,chapeau de bouffon,cappello da giullare,narrenmuts,小丑帽子,小丑帽子,ピエロのぼうし,피에로 모자,колпак шута
710,1.0.0,jockey's helmet,jockey's helmet,Jockeyhelm,casco de jinete,casco de jinete,casque de jockey,casque de jockey,casco da fantino,jockeyhelm,马术头盔,馬術安全帽,ジョッキーヘルメット,기수 헬멧,шлем жокея
714,1.0.0,detective hat,detective hat,Detektivhut,gorra de detective,gorra de detective,casquette de détective,casquette détective,cappello da detective,detectivepet,名侦探帽,名偵探帽,めいたんていのぼうし,명탐정 모자,кепка детектива
719,1.0.0,straw hat,straw hat,Strohhut,sombrero de paja,sombrero de paja,chapeau de paille,chapeau de paille,cappello di paglia,strohoed,草帽,草帽,むぎわらぼうし,밀짚모자,соломенная шляпка
720,1.0.0,outback hat,outback hat,Western-Hut,sombrero austral,sombrero austral,feutre,feutre,cappello australiano,westernhoed,牛仔帽,牛仔帽,テンガロンハット,카우보이 모자,австралийская шляпа
724,1.0.0,snowy knit cap,snowy knit cap,Schneeflockenmütze,gorro de punto copos,gorro tejido copos,bonnet d'hiver tricoté,bonnet d'hiver tricoté,cappellino nevoso di lana,gebreide wintermuts,雪花针织帽,下雪針織帽,スノーニットぼう,스노 털모자,шапка со снежинками
725,1.0.0,colorful striped knit cap,colorful striped knit cap,Ringelpudelmütze,gorro de punto colorido,gorro tejido colorido,bonnet tricoté bariolé,bonnet tricoté bariolé,cappellino colorato di lana,kleurrijke gebreide muts,彩色波浪纹针织帽,彩色粗橫紋針織帽,カラフルボーダーニットぼう,컬러풀 줄무늬 털모자,пестрая шапка в полоску
751,1.0.0,imitation cow skull,imitation cow skull,Kuhschädelhelm,casco con cuernos,casco con cuernos,casque préhistorique,casque préhistorique,teschio di mucca,imitatiekoeienschedel,牛骨帽,牛骨帽,うしのほね,황소 두개골,муляж коровьего черепа
803,1.0.0,eggshell,eggshell,Eischalen-Hut,cáscara de huevo,cáscara de huevo,coquille d'œuf,coquille d'œuf,guscio d'uovo,eierschaal,蛋壳,蛋殼,たまごのから,달걀 껍질,скорлупа
816,1.0.0,cavalier hat,cavalier hat,Edelmann-Hut,sombrero mosquetero,sombrero mosquetero,chapeau de mousquetaire,chapeau de mousquetaire,cappello da moschettiere,musketiershoed,骑士帽,騎士帽,じゅうきしのぼうし,기사 모자,шляпа кавалериста
910,1.0.0,New Year's silk hat,New Year's silk hat,Neujahrszylinder,gorro de Año Nuevo chic,gorro de Año Nuevo chic,haut-de-forme nouvel an,haut-de-forme Nouvel An,cilindro di Capodanno,zijden nieuwjaarshoed,新年丝质礼帽,新年絲質禮帽,ニューイヤーシルクハット,새해 실크해트,новогодний цилиндр
929,1.0.0,ancient administrator hat,ancient administrator hat,Wushamao,gorro gestión imperial,gorro gestión imperial,chapeau Wu Sha,chapeau Wu Sha,cappello imperiale,oosterse hoed,乌纱帽,官帽,かんぼう,관모,древняя шапка мандарина
930,1.0.0,glengarry,glengarry,Schotten-Schiffchen,boina glengarry,boina glengarry,glengarry,glengarry,berretto scozzese,glengarry,黑卫士兵团帽,黑衛士兵團帽,グレンガリーぼう,글렌개리,гленгарри
935,1.0.0,pom casquette,pom casquette,Bommelhut,gorra con pompón,gorra con pompón,casquette à pompon,casquette à pompon,berretto con pon-pon,muts met klep en pompon,毛球报童帽,毛球報童帽,ボンボンつきキャスケット,폼폼 카스케트,теплая каскетка
936,1.0.0,tam-o'-shanter,tam-o'-shanter,Schottenmütze,boina escocesa,boina escocesa,béret écossais,tourmaline,basco scozzese,Schotse baret,苏格兰帽,蘇格蘭帽,スコットランドぼうし,스코틀랜드 모자,тэм-о-шентер
942,1.0.0,ribbon,ribbon,Schleifchen,lazo,lazo,nœud à cheveux,nœud à cheveux,fiocco,strikje,蝴蝶结,蝴蝶結,リボン,리본,бантик
949,1.0.0,halo,halo,Lichtkranz,halo,halo,auréole,auréole,aureola,aureool,天使光环,天使光環,てんしのわ,천사 링,нимб
950,1.0.0,nurse's cap,nurse's cap,Schwesternhaube,cofia enfermera,cofia enfermera,coiffe d'infirmière,coiffe d'infirmière,cuffia da infermiera,verpleegsterskapje,护士帽,護士帽,ナースキャップ,간호사 모자,шапочка медсестры
951,1.0.0,soft-serve hat,soft-serve hat,Softeis-Hut,gorro helado cremoso,gorro helado cremoso,chapeau glace italienne,chapeau glace italienne,cappello gelato,softijshoed,霜淇淋帽,霜淇淋帽,ソフトクリームなぼうし,소프트아이스크림 모자,шапочка-мороженое
952,1.0.0,bunny ears,bunny ears,Hasenohren-Haarreif,diadema orejitas de conejo,diadema orejitas de conejo,serre-tête oreilles de lapin,serre-tête oreilles de lapin,cerchietto da coniglio,konijnenoren,兔子耳朵,兔子耳朵,バニーのみみ,토끼 귀,заячьи ушки
953,1.0.0,straw umbrella hat,straw umbrella hat,Flach-Reishut,gorro de paja achatado,gorro de paja achatado,chapeau de bambou,chapeau de bambou,cappello di paglia orientale,ronde strohoed,三度笠,三度笠,さんどがさ,삿갓,соломенная шляпа-зонт
954,1.0.0,ribboned straw hat,ribboned straw hat,Mini-Strohhut,sombrero con lazo,sombrero con lazo,chapeau paille ruban,chapeau paille ruban,cappello di paglia e nastro,strohoed met lint,小帽子,小帽子,ちいさめなぼうし,작은 모자,плетеная шляпка с лентой
