nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Miles Price
추상적인 벽지,4873,abstract wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAbstract00.png,1560,390,너굴 상점,,하얀색,컬러풀,구매가능,No,,NA
이집트풍 벽,4936,ancient wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEgypt00.png,3000,750,사하라,,베이지색,갈색,비매품,No,,NA
사과 벽지,4916,apple wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallApple00.png,NFS,4000,제작,,빨간색,빨간색,비매품,Yes,,NA
하늘색 타일 벽,4930,aqua tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile01.png,1420,355,너굴 상점,,하늘색,하늘색,구매가능,No,,NA
예쁜 창문 벽,5482,arched-window wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGlass00.png,2150,537,너굴 상점,,갈색,하늘색,구매가능,No,,NA
단풍 벽,4905,autumn wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallAutumun00.png,NFS,4700,제작,,갈색,주황색,비매품,Yes,,NA
뒷마당 벽,5481,backyard-fence wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallBackyard00.png,3000,750,사하라,,하늘색,하얀색,비매품,No,,NA
대나무 벽,4833,bamboo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBamboo00.png,NFS,2400,제작,,초록색,베이지색,비매품,Yes,,NA
대나무 숲 벽,4853,bamboo-grove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChikurin00.png,NFS,4300,제작,,초록색,초록색,비매품,Yes,,NA
나무 발 벽,4836,bamboo-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRattan00.png,1770,442,너굴 상점,,갈색,갈색,구매가능,No,,NA
금고 벽,4839,bank-vault wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSafeBox00.png,3000,750,사하라,,회색,회색,비매품,No,,NA
심플 패널 벽,5559,basic wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSimplePanel00.png,600,150,너굴 상점,,하얀색,하얀색,구매가능,No,,NA
구슬 커튼 벽,4877,beaded-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBeadsCurtain00.png,1720,430,너굴 상점,,하얀색,주황색,구매가능,No,,NA
베이지 아르데코풍 벽,4817,beige art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco00.png,2780,695,너굴 상점,,베이지색,베이지색,구매가능,No,,NA
베이지 풀꽃 벽,4831,beige blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry00.png,1760,440,너굴 상점,,베이지색,갈색,구매가능,No,,NA
베이지 모로칸 타일 벽,4834,beige desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco00.png,2440,610,너굴 상점,,베이지색,베이지색,구매가능,No,,NA
블랙 보태니컬 타일 벽,6877,black botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile03.png,1240,310,너굴 상점,,검정색,검정색,구매가능,No,,NA
검정 홀 벽,6862,black hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall03.png,2000,500,너굴 상점,,검정색,검정색,구매가능,No,,NA
검정 펀칭 보드 벽,4922,black perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard02.png,1180,295,너굴 상점,,검정색,검정색,구매가능,No,,NA
흑백 투톤 타일 벽,6859,black two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile06.png,1850,462,너굴 상점,,검정색,검정색,구매가능,No,,NA
검정 벽돌 벽,4929,black-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick02.png,1000,250,너굴 상점,,검정색,검정색,구매가능,No,,NA
블랙 왕관 벽지,4815,black-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown01.png,2350,587,너굴 상점,,검정색,검정색,구매가능,No,,NA
칠판 벽,4882,blackboard wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlackBoard00.png,3000,750,사하라,,검정색,컬러풀,비매품,No,,NA
파란 풀꽃 벽,4896,blue blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry02.png,1760,440,너굴 상점,,하늘색,파란색,구매가능,No,,NA
블루 밀리터리 벽지,4884,blue camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage01.png,1150,287,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 잔꽃무늬 벽지,6852,blue delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor03.png,1900,475,너굴 상점,,파란색,검정색,구매가능,No,,NA
블루 모로칸 타일 벽,4835,blue desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco01.png,2440,610,너굴 상점,,파란색,하얀색,구매가능,No,,NA
파란 다이너 벽,7241,blue diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner00.png,2420,605,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 꽃무늬 벽지,6873,blue flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower03.png,1780,445,너굴 상점,,파란색,하늘색,구매가능,No,,NA
블루 하트 벽지,4874,blue heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart00.png,1280,320,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 육각 타일 벽,4912,blue honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb01.png,1680,420,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 텍스타일 벽,4848,blue intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop00.png,1570,392,너굴 상점,,파란색,하얀색,구매가능,No,,NA
블루 패널 몰드 벽,4871,blue molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold01.png,1980,495,너굴 상점,,파란색,갈색,구매가능,No,,NA
파란 페인트 우드 벽,4948,blue painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood00.png,1650,412,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 놀이방 벽지,4888,blue playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy00.png,2540,635,너굴 상점,,하늘색,파란색,구매가능,No,,NA
블루 퀼트 벽,7277,blue quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse01.png,2150,537,너굴 상점,,파란색,하얀색,구매가능,No,,NA
블루 강판 벽,4925,blue shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin02.png,620,155,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 심플 벽지,4869,blue simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple03.png,750,187,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 메트로 타일 벽,4940,blue subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro00.png,1340,335,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 타일 벽,7127,blue tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile03.png,1420,355,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 투톤 타일 벽,6858,blue two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile05.png,1850,462,너굴 상점,,파란색,파란색,구매가능,No,,NA
블루 왕관 벽지,4814,blue-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown00.png,2350,587,너굴 상점,,파란색,검정색,구매가능,No,,NA
파란 페인트 벽,4811,blue-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco03.png,1600,400,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 장미 벽지,6869,blue-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose03.png,1720,430,너굴 상점,,파란색,하늘색,구매가능,No,,NA
블루 줄무늬 벽지,4945,blue-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe03.png,1520,380,너굴 상점,,파란색,하얀색,구매가능,No,,NA
보태니컬 타일 벽,6876,botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile02.png,1240,310,너굴 상점,,베이지색,노란색,구매가능,No,,NA
브라운 보태니컬 타일 벽,4827,brown botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile01.png,1240,310,너굴 상점,,갈색,갈색,구매가능,No,,NA
갈색 다이너 벽,7244,brown diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner03.png,2420,605,너굴 상점,,갈색,컬러풀,구매가능,No,,NA
갈색 홀 벽,4806,brown hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall00.png,2000,500,너굴 상점,,갈색,갈색,구매가능,No,,NA
갈색 헤링본 벽,4804,brown herringbone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHerringbone00.png,NFS,1800,제작,,갈색,갈색,비매품,Yes,,NA
브라운 강판 벽,4926,brown shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin03.png,620,155,너굴 상점,,갈색,갈색,구매가능,No,,NA
갈색 웨딩 벽,12468,brown wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch01.png,3000,750,웨딩 이벤트,,None,None,비매품,No,,NA
갈색 벽돌 벽,6850,brown-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick03.png,1000,250,너굴 상점,,갈색,갈색,구매가능,No,,NA
브라운 왕관 벽지,6851,brown-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown03.png,2350,587,너굴 상점,,갈색,갈색,구매가능,No,,NA
이스터 벽지,5231,Bunny Day wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEaster00.png,NFS,4800,제작,,노란색,컬러풀,비매품,Yes,,NA
나비 벽지,4880,butterflies wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallInsect00.png,NFS,840,곤충채집대회,,하얀색,컬러풀,비매품,No,,NA
통나무집 벽,4840,cabin wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLog00.png,NFS,1800,제작,,베이지색,베이지색,비매품,Yes,,NA
카페 커튼 벽,5483,café-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallCafe00.png,3000,750,사하라,,검정색,하얀색,비매품,No,,NA
밀리터리 벽지,4883,camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage00.png,1150,287,너굴 상점,,검정색,초록색,구매가능,No,,NA
공터 벽,5485,chain-link fence,https://acnhcdn.com/latest/FtrIcon/RoomSpWallEmptyLot00.png,3000,750,사하라,,회색,회색,비매품,No,,NA
체리 벽지,4919,cherry wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCherry00.png,NFS,4000,제작,,분홍색,빨간색,비매품,Yes,,NA
벚나무길 벽,7205,cherry-blossom-trees wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSakura00.png,NFS,4600,제작,,갈색,분홍색,비매품,Yes,,NA
시크한 다도실 벽,11176,chic tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud03.png,1750,437,너굴 상점,,검정색,검정색,구매가능,No,,NA
클래식 벽지,4828,chic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallClassic00.png,1960,490,너굴 상점,,노란색,베이지색,구매가능,No,,NA
고동색 홀 벽,4807,chocolate hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall01.png,2000,500,너굴 상점,,갈색,갈색,구매가능,No,,NA
고동색 헤링본 벽,4805,chocolate herringbone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHerringbone01.png,NFS,1800,제작,,갈색,갈색,비매품,Yes,,NA
전자 회로 벽,4821,circuit-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGeek00.png,3000,750,사하라,,초록색,초록색,비매품,No,,NA
야경 벽,5400,cityscape wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallNightView00.png,3000,750,사하라,,검정색,검정색,비매품,No,,NA
도서관 벽,4837,classic-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary00.png,NFS,1450,제작,,검정색,검정색,비매품,Yes,,NA
컬러풀 퍼즐 벽지,4887,colorful puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle01.png,1540,385,너굴 상점,,컬러풀,컬러풀,구매가능,No,,NA
컬러풀 타일 벽,4931,colorful-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile02.png,1420,355,너굴 상점,,컬러풀,컬러풀,구매가능,No,,NA
평범한 벽,4795,common wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCommon00.png,800,200,너굴 상점,,베이지색,갈색,구매가능,No,,NA
콘크리트 벽,4890,concrete wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallConcrete00.png,940,235,너굴 상점,,회색,회색,구매가능,No,,NA
공사 현장 벽,4843,construction-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlueSheet00.png,3000,750,사하라,,파란색,파란색,비매품,No,,NA
면직물 무늬 벽지,4841,crepe-design wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrepe00.png,1550,387,너굴 상점,,하얀색,컬러풀,구매가능,No,,NA
블루 큐트 벽,7217,cute blue wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute02.png,1880,470,너굴 상점,,파란색,하얀색,구매가능,No,,NA
레드 큐트 벽,7216,cute red wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute01.png,1880,470,너굴 상점,,빨간색,하얀색,구매가능,No,,NA
화이트 큐트 벽,7215,cute white wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute00.png,1880,470,너굴 상점,,하얀색,하얀색,구매가능,No,,NA
옐로 큐트 벽,7218,cute yellow wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute03.png,1880,470,너굴 상점,,노란색,하얀색,구매가능,No,,NA
짙은 색 나무로 짠 벽,4860,dark wooden-mosaic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixPlankWood01.png,NFS,1800,제작,,검정색,검정색,비매품,Yes,,NA
다크 초콜릿 벽,4932,dark-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate00.png,3000,750,사하라,,갈색,갈색,비매품,No,,NA
사막 벽,5488,desert vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallDesert00.png,3000,750,사하라,,베이지색,회색,비매품,No,,NA
지층 벽,5222,dig-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStratum00.png,3000,750,사하라,,갈색,베이지색,비매품,No,,NA
낡은 토벽,4856,dirt-clod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOldSoil00.png,200,50,너굴 상점,,베이지색,갈색,구매가능,No,,NA
씨름판 벽,5227,dojo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBaseboards00.png,3000,750,사하라,,노란색,베이지색,비매품,No,,NA
지하 감옥 벽,5509,dungeon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallJail00.png,3000,750,사하라,,검정색,회색,비매품,No,,NA
차이나풍 벽,4866,exquisite wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChina00.png,3000,750,사하라,,갈색,하얀색,비매품,No,,NA
버섯숲 벽지,7187,forest wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMushForest00.png,NFS,44000,제작,,검정색,검정색,비매품,Yes,,NA
오버 테크놀로지 벽,5494,future-tech wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTechnology00.png,3000,750,사하라,,검정색,검정색,비매품,No,,NA
쓰레기 더미 벽,5229,garbage-heap wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGarbage00.png,NFS,120,제작,,하늘색,회색,비매품,Yes,,NA
황금 미닫이 문 벽,4820,gold-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusumaGorgeous00.png,NFS,20750,제작,,노란색,노란색,비매품,Yes,,NA
황금 벽,4894,golden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGold00.png,NFS,40000,제작,,노란색,갈색,비매품,Yes,,NA
하얀 다이너 벽,7243,gray diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner02.png,2420,605,너굴 상점,,하얀색,컬러풀,구매가능,No,,NA
그레이 패널 몰드 벽,4872,gray molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold02.png,1980,495,너굴 상점,,회색,회색,구매가능,No,,NA
그레이 강판 벽,4923,gray shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin00.png,620,155,너굴 상점,,회색,회색,구매가능,No,,NA
흑백 줄무늬 벽지,4944,gray-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe02.png,1520,380,너굴 상점,,회색,하얀색,구매가능,No,,NA
초록 풀꽃 벽,4903,green blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry03.png,1760,440,너굴 상점,,초록색,갈색,구매가능,No,,NA
그린 잔꽃무늬 벽지,4898,green delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor02.png,1900,475,너굴 상점,,초록색,검정색,구매가능,No,,NA
그린 꽃무늬 벽지,4935,green flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower01.png,1780,445,너굴 상점,,초록색,베이지색,구매가능,No,,NA
초록 육각 타일 벽,4913,green honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb02.png,1680,420,너굴 상점,,초록색,초록색,구매가능,No,,NA
초록 텍스타일 벽,6878,green intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop02.png,1570,392,너굴 상점,,초록색,하얀색,구매가능,No,,NA
초록 패널 몰드 벽,6854,green molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold03.png,1980,495,너굴 상점,,초록색,하얀색,구매가능,No,,NA
초록 페인트 우드 벽,4949,green painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood01.png,1650,412,너굴 상점,,초록색,초록색,구매가능,No,,NA
초록 놀이방 벽지,6866,green playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy02.png,2540,635,너굴 상점,,초록색,초록색,구매가능,No,,NA
초록 웨딩 벽,12469,green wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch02.png,3000,750,웨딩 이벤트,,None,None,비매품,No,,NA
초록 페인트 벽,4812,green-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco04.png,1600,400,너굴 상점,,초록색,초록색,구매가능,No,,NA
사이키델릭 벽지,4846,groovy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPsyche00.png,1280,320,너굴 상점,,주황색,주황색,구매가능,No,,NA
오리엔탈 벽,11180,harmonious wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOriental00.png,1780,445,너굴 상점,,갈색,갈색,구매가능,No,,NA
극장 커튼 벽,4878,heavy-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallThickCurtain00.png,3000,750,사하라,,빨간색,검정색,비매품,No,,NA
벌집 벽,4865,honeycomb wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoney00.png,NFS,3600,제작,,노란색,노란색,비매품,Yes,,NA
육각 타일 벽,4909,honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb00.png,1680,420,너굴 상점,,갈색,갈색,구매가능,No,,NA
아이스 벽,5505,ice wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallIce00.png,NFS,8200,제작,,하늘색,하늘색,비매품,Yes,,NA
빙산 벽,5662,iceberg wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIceFloe00.png,NFS,4000,제작,,하늘색,하얀색,비매품,Yes,,NA
왕조 벽,5224,imperial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDynasty00.png,3000,750,사하라,,빨간색,빨간색,비매품,No,,NA
팩토리 벽,4876,industrial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFactory00.png,3000,750,사하라,,검정색,검정색,비매품,No,,NA
덩굴 벽,4850,ivy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIvy00.png,3000,750,사하라,,갈색,초록색,비매품,No,,NA
크리스마스 벽,5230,Jingle wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallXmas00.png,NFS,2500,제작,,초록색,컬러풀,비매품,Yes,,NA
정글 벽,5457,jungle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJungle00.png,NFS,1380,제작,,초록색,초록색,비매품,Yes,,NA
입술 벽지,4881,kisses wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKiss00.png,3000,750,사하라,,분홍색,하얀색,비매품,No,,NA
연구실 벽,5495,laboratory wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallLabo00.png,3000,750,사하라,,검정색,검정색,비매품,No,,NA
오리엔탈 격자 벽,4830,lattice wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLattice00.png,1780,445,너굴 상점,,갈색,갈색,구매가능,No,,NA
화산 동굴 벽,5506,magma-cavern wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallVolcano00.png,3000,750,사하라,,주황색,주황색,비매품,No,,NA
만화 도서관 벽,4838,manga-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary01.png,NFS,1050,제작,,하얀색,하얀색,비매품,Yes,,NA
